City_Region,ZIP,Population_2021,Median_Household_Income,Percent_Household_Income_Greater_than_100000,Per_Capita_Income,Population_Male,Population_Female,Projected_Population_2026,Employed,Housing_units,Percent_Housing_Occupied,Percent_Family_households,Percent_Never_married,Education_Bachelors_degree
 Avondale Estates,30002,6066,68978.08,0.3735,49651.33,0.453,0.5467,6312,0.6994,3004,0.9581,0.5236,0.385,0.5608
 Alpharetta,30004,68039,120640.1,0.6393,61845.74,0.4922,0.5078,74511,0.7129,24988,0.9598,0.7729,0.2558,0.6784
 Alpharetta,30005,40114,134774.69,0.6814,57458.02,0.5091,0.4909,40412,0.7238,14969,0.9452,0.7991,0.258,0.7461
 Marietta,30008,32958,50953.49,0.1974,23775.79,0.4902,0.5097,32731,0.6104,12138,0.945,0.6024,0.4129,0.2038
 Alpharetta,30009,18304,103685.48,0.5594,56733.18,0.5043,0.4957,21498,0.6972,7889,0.9127,0.6508,0.2613,0.6725
 Auburn,30011,16330,65942.77,0.2589,25525.02,0.4688,0.5312,17434,0.6241,5167,0.9574,0.7831,0.2907,0.2129
 Conyers,30012,28837,47164.31,0.1976,25000.61,0.444,0.5559,30594,0.6063,10821,0.951,0.6972,0.388,0.2483
 Conyers,30013,26981,64724.66,0.3149,31632.23,0.4829,0.5171,27530,0.6658,10810,0.9204,0.7187,0.3561,0.286
 Covington,30014,38589,51690.21,0.2151,25323.69,0.4699,0.53,39591,0.6326,14663,0.9301,0.689,0.3522,0.1807
 Covington,30016,56549,58172.61,0.2359,23844.34,0.4763,0.5237,60016,0.6541,19282,1,0.7333,0.3733,0.1937
 Grayson,30017,24071,97997.64,0.4725,38857.49,0.4567,0.5432,24572,0.7443,7200,0.9897,0.8308,0.2707,0.4902
 Dacula,30019,50891,101072.69,0.5254,36407.54,0.4807,0.5192,54784,0.7128,15406,0.9755,0.8728,0.2442,0.4159
 Clarkston,30021,23497,36372.63,0.1208,15123.64,0.477,0.5229,22973,0.6715,7688,0.8967,0.6597,0.4009,0.2558
 Alpharetta,30022,69422,112777.35,0.5908,54287.74,0.4917,0.5083,70545,0.7197,25909,0.9367,0.759,0.2691,0.671
 Suwanee,30024,82402,113130.02,0.6013,43230.87,0.4701,0.5299,91150,0.6837,26576,0.9726,0.8378,0.2636,0.6326
 Social Circle,30025,9585,74122.55,0.3772,33379.03,0.4835,0.5164,9717,0.6388,3694,0.941,0.8024,0.2351,0.2057
 Cumming,30028,28206,94694.23,0.4877,37660.36,0.5106,0.4893,32482,0.698,9893,0.9932,0.8413,0.2036,0.4255
 Decatur,30030,32033,87718.34,0.4805,53043.4,0.441,0.5589,36290,0.6547,13367,0.9399,0.5895,0.327,0.7067
 Decatur,30032,48616,40873,0.1459,22539.61,0.4663,0.5336,48175,0.6226,20508,0.8913,0.5248,0.5643,0.2517
 Decatur,30033,33916,83966.52,0.4738,48095.05,0.4731,0.5269,36216,0.6779,14461,0.9233,0.5231,0.4112,0.6961
 Decatur,30034,49821,53653.7,0.2324,26424.99,0.4646,0.5353,55126,0.6454,19874,0.8875,0.6503,0.4615,0.2837
 Decatur,30035,24605,44016.03,0.114,23157.37,0.4419,0.5581,27630,0.676,9393,0.9711,0.5888,0.4804,0.2051
 Lithonia,30038,37359,51657.1,0.2183,26052.58,0.4681,0.5319,33517,0.6735,15611,0.9162,0.5299,0.5094,0.3141
 Snellville,30039,49458,75452.52,0.4059,28614.7,0.4601,0.5399,54337,0.6888,16054,0.9534,0.8044,0.3766,0.3328
 Cumming,30040,78715,101117.64,0.5327,41970.08,0.4925,0.5075,93066,0.6991,28206,0.9907,0.7759,0.2223,0.5383
 Cumming,30041,75375,112857.05,0.5778,46264.94,0.4914,0.5086,90344,0.6776,26732,0.9555,0.8392,0.221,0.5983
 Lawrenceville,30043,94336,79606.02,0.3863,31826.5,0.4859,0.5141,101270,0.6726,29593,1,0.7658,0.3375,0.3838
 Lawrenceville,30044,90320,64271.71,0.2869,25283.58,0.49,0.5099,93060,0.6901,28027,0.9468,0.7725,0.3526,0.3149
 Lawrenceville,30045,47617,77552.77,0.3326,28054.4,0.501,0.499,59585,0.6852,13972,0.9834,0.8475,0.34,0.3283
 Lawrenceville,30046,37876,52784.39,0.2252,25368.06,0.4973,0.5027,39083,0.7181,14297,0.9354,0.6689,0.3644,0.2384
 Lilburn,30047,68283,73734.91,0.3666,30232.88,0.5136,0.4864,72390,0.6742,22166,0.9709,0.7825,0.3244,0.3922
 Loganville,30052,72410,69500.6,0.3247,28034.02,0.4886,0.5113,82876,0.6372,24909,0.9514,0.7901,0.2695,0.2848
 Oxford,30054,12597,64296.67,0.3292,28030.05,0.4881,0.5118,13765,0.4972,4529,0.915,0.7295,0.2854,0.1902
 Mansfield,30055,4033,71159.88,0.326,30298.81,0.4746,0.5252,5331,0.5529,1535,0.8612,0.7905,0.243,0.2136
 Newborn,30056,2253,54643.79,0.2282,27365.3,0.4847,0.5149,2159,0.5143,890,0.9258,0.7828,0.2076,0.105
 Lithonia,30058,62265,54329.43,0.2321,25597.58,0.4413,0.5587,69415,0.7107,22044,0.9705,0.6782,0.4729,0.2985
 Marietta,30060,42469,48661.02,0.1938,23375.77,0.5172,0.4828,46542,0.6639,15784,0.9247,0.615,0.4148,0.264
 Marietta,30062,66645,103648.56,0.5534,46866.93,0.4945,0.5055,67488,0.645,24499,0.9626,0.7779,0.24,0.6183
 Marietta,30064,50685,95274.97,0.5115,46088.19,0.4859,0.5141,53829,0.6181,19586,0.948,0.7443,0.2432,0.5173
 Marietta,30066,57600,94433.01,0.4824,44591.87,0.4843,0.5157,61548,0.6923,21754,0.9441,0.7201,0.3011,0.5173
 Marietta,30067,45687,60957.01,0.2953,41858.58,0.4823,0.5177,43789,0.7294,21417,0.9342,0.5071,0.3936,0.5374
 Marietta,30068,32788,123324.68,0.6225,58896.67,0.5019,0.498,33495,0.6355,13137,0.9333,0.7587,0.2028,0.7031
 Porterdale,30070,456,12966.96,0.0526,10125.33,0.4232,0.5746,446,0.1689,260,0.8038,0.5646,0.4223,0.0345
 Norcross,30071,26018,53016.52,0.2281,22078.71,0.5045,0.4955,27438,0.6644,8043,0.9627,0.7368,0.3777,0.2445
 Pine Lake,30072,775,55818.32,0.3249,38694.89,0.3252,0.6735,898,0.807,433,0.9099,0.5635,0.3282,0.4623
 Roswell,30075,52595,124786.13,0.6413,60714.29,0.49,0.5099,50916,0.6531,20912,0.919,0.7669,0.236,0.6661
 Roswell,30076,48748,82594.13,0.4528,41813.24,0.4952,0.5048,52966,0.7443,17846,0.9607,0.6872,0.3745,0.5328
 Snellville,30078,36252,73962.33,0.3339,32783.54,0.4868,0.5132,37825,0.6623,11493,0.982,0.8173,0.3162,0.3724
 Scottdale,30079,3907,53518.76,0.1581,28836.06,0.4364,0.5636,4984,0.7578,1704,0.9466,0.5245,0.6024,0.2934
