line_of_business,Business_Category,Is_Wholesale
ANIMAL SERVICES,Personal Services,0
"AUTO AND HOME SUPPLY STORES, NSK",Automotive Dealers & Service Stations,0
"AUTOMOBILES AND OTHER MOTOR VEHICLES, NSK",Automotive Dealers & Service Stations,0
"AUTOMOTIVE DEALERS, NEC, NSK",Automotive Dealers & Service Stations,0
AUTOMOTIVE SERVICES,Automotive Dealers & Service Stations,0
BEAUTY SHOP,Personal Services,0
"BEER AND ALE, NSK",Food Stores,0
"BOAT DEALERS, NSK",Automotive Dealers & Service Stations,0
BOOK STORES,Miscellaneous Retail,0
"BOOKS, PERIODICALS, AND NEWSPAPERS",Miscellaneous Retail,0
"BRICK, STONE, AND RELATED MATERIAL",Building Materials & Hardware,0
BUSINESS SERVICES,Business Services,0
CAMERA AND PHOTOGRAPHIC SUPPLY STORES,"Electronics, Applicances & Music Stores",0
"CANDY, NUT, AND CONFECTIONERY STORES",Food Stores,0
CATALOG AND MAIL-ORDER HOUSES,Miscellaneous Retail,0
"CHEMICALS AND ALLIED PRODUCTS, NEC",Building Materials & Hardware,0
CHILDRENS AND INFANTS WEAR STORES,Apparel & Accessory Stores,0
"CLOTHING: WOMENS, CHILDRENS, AND INFANTS",Apparel & Accessory Stores,0
COAL AND OTHER MINERALS AND ORES,Building Materials & Hardware,0
"COMMERCIAL EQUIPMENT, NEC",Building Materials & Hardware,0
"COMPUTER AND SOFTWARE STORES, NSK","Electronics, Applicances & Music Stores",0
COMPUTER RELATED SERVICES,Business Services,0
COMPUTER SYSTEMS DESIGN,"Electronics, Applicances & Music Stores",0
"COMPUTERS, PERIPHERALS, AND SOFTWARE, NSK","Electronics, Applicances & Music Stores",0
"CONFECTIONERY, NSK",Food Stores,0
CONSTRUCTION AND MINING MACHINERY,Building Materials & Hardware,0
"CONSTRUCTION MATERIALS, NEC, NSK",Building Materials & Hardware,0
"DAIRY PRODUCTS STORES, NSK",Food Stores,0
"DAIRY PRODUCTS,EXCEPT DRIED OR CANNED,NSK",Food Stores,0
DEPARTMENT STORE,General Merchandise,0
DEPARTMENT STORES,General Merchandise,0
DIRECT RETAIL SALES,Miscellaneous Retail,0
DIRECT SELLING ESTABLISHMENTS,Miscellaneous Retail,0
"DRAPERY AND UPHOLSTERY STORES, NSK",Home Furniture & Furnishing Stores,0
DRINKING PLACE,Eating & Drinking Places,0
"DRINKING PLACES, NSK",Eating & Drinking Places,0
DRUG STORES AND PROPRIETARY STORES,Miscellaneous Retail,0
"DRUGS, PROPRIETARIES, AND SUNDRIES",Miscellaneous Retail,0
"DURABLE GOODS, NEC",General Merchandise,0
EATING PLACE,Eating & Drinking Places,0
EATING PLACES,Eating & Drinking Places,0
"ELECTRICAL APPARATUS AND EQUIPMENT, NSK","Electronics, Applicances & Music Stores",0
"ELECTRICAL APPLIANCES, TELEVISION AND RAD","Electronics, Applicances & Music Stores",0
"ELECTRICAL APPLIANCES,TV AND RADIO","Electronics, Applicances & Music Stores",0
"ELECTRONIC PARTS AND EQUIPMENT, NEC, NSK","Electronics, Applicances & Music Stores",0
"FAMILY CLOTHING STORES, NSK",Apparel & Accessory Stores,0
"FARM AND GARDEN MACHINERY, NSK",General Merchandise,0
"FARM SUPPLIES, NSK",General Merchandise,0
"FARM-PRODUCT RAW MATERIALS, NEC, NSK",General Merchandise,0
FISH AND SEAFOODS,Food Stores,0
FLOOR COVERING STORES,Home Furniture & Furnishing Stores,0
"FLORISTS, NSK",Miscellaneous Retail,0
"FLOWERS AND FLORISTS SUPPLIES, NSK",Miscellaneous Retail,0
FOOTWEAR,Apparel & Accessory Stores,0
