Station ID,Functional Class,Lat,Lat_clean,Long,Long_clean,AADT_2021,Truck%_2021,AADT_2020,Truck%_2020,AADT_2019,Truck%_2019,AADT_2018,Truck%_2018,AADT_2017,Truck%_2017,AADT_2016,Truck%_2016,AADT_2015,Truck%_2015,AADT_2014,Truck%_2014,AADT_2013,Truck%_2013,AADT_2012,Truck%_2012
009-0101,6U : Urban Minor Collector,33.077116,33.077116,-83.225161,-83.225161,2500,,2350,,2530,,2520,,2480,,2430,,2370,,2160,,2160,,2220,
009-0103,4U : Urban Minor Arterial,33.07888,33.07888,-83.222833,-83.222833,10000,7.6,9420,7.6,9920,7.6,9980,7.6,10500,,10300,10.9,9320,9.2,9070,9.5,9140,,9170,
009-0104,6U : Urban Minor Collector,33.048883,33.048883,-83.22355,-83.22355,800,,330,,350,,350,,340,,1010,,990,,950,,950,,1780,
009-0107,3U : Urban Principal Arterial - Other,33.058677,33.058677,-83.36439,-83.36439,5910,5.4,5560,5.4,5470,10.9,5510,10.9,5910,,5820,9.1,5640,8.4,5490,8.6,5510,8.3,5500,8.3
009-0112,3U : Urban Principal Arterial - Other,33.08152,33.08152,-83.2997,-83.2997,7190,7.6,7450,8.3,7910,8.3,7660,8.3,7510,8.3,8200,6.9,7930,6.9,7370,6.9,7370,6.9,7490,5.0
009-0116,3U : Urban Principal Arterial - Other,33.091501,33.091501,-83.251349,-83.251349,8090,5.2,7610,5.2,8160,5.2,8220,5.2,9630,,9480,6.5,8760,5.4,8520,5.5,8910,4.1,8940,4.1
009-0118,3U : Urban Principal Arterial - Other,33.083154,33.083154,-83.245087,-83.245087,4130,6.1,4630,6.0,4910,6.0,5370,6.4,5270,6.3,5230,5.8,5060,5.8,4880,7.9,4880,7.9,4630,4.1
009-0121,3U : Urban Principal Arterial - Other,33.082075,33.082075,-83.238106,-83.238106,5620,6.5,5290,6.5,6110,8.9,6150,8.9,6760,,6660,12.1,6540,7.8,6360,8.0,6150,9.0,6170,
009-0123,3U : Urban Principal Arterial - Other,33.082872,33.082872,-83.233844,-83.233844,7290,6.6,10200,,10800,,10200,,10000,,11200,,10800,,9120,,9120,,9150,
009-0125,3U : Urban Principal Arterial - Other,33.083561,33.083561,-83.23032,-83.23032,7030,,6620,,6900,,6940,,7230,,7120,,7470,,7270,,6120,,6140,
009-0129,3U : Urban Principal Arterial - Other,33.084205,33.084205,-83.226892,-83.226892,3530,6.9,4640,,4930,,5060,,4960,,4650,6.8,4500,6.8,5040,6.8,5040,6.8,3880,6.8
